int,string,string,string,int,int
000199,扑,s,h-sg-t-s-d,2,067
000200,卉,m,h-s-h-p-s,3,031
000201,扒,s,h-sg-t-p-n,2,067
000202,功,m,h-s-t-hzg-p,2,025
000203,扔,j,h-sg-t-hzzzg-p,2,067
000204,去,m,h-s-h-pz-d,3,032
000205,甘,m,h-s-s-h-h,1,137
000206,世,j,h-s-s-h-sz,1,005
000207,艾,t,h-s-s-p-n,3,038
000208,古,m,h-s-s-hz-h,3,056
000209,节,j,h-s-s-hzg-s,3,038
000210,本,m,h-s-p-n-h,1,102
000211,术,m,h-s-p-n-d,1,102
000212,可,m,h-s-hz-h-sg,6,056
000213,丙,h,h-s-hzg-p-d,1,005
000214,左,h,h-p-h-s-h,7,048
000215,厉,h,h-p-h-hzg-p,7,014
000216,石,j,h-p-s-hz-h,7,151
000217,右,t,h-p-s-hz-h,7,056
000218,布,s,h-p-s-hzg-s,7,055
000219,夯,s,h-p-n-hzg-p,3,045
000220,戊,t,h-p-xg-p-d,2,093
000221,龙,h,h-p-swg-p-d,1,142
000222,平,s,h-d-p-h-s,1,047
000223,灭,s,h-d-p-p-n,3,096
000224,轧,j,h-pz-s-t-swg,2,086
000225,东,m,h-pz-sg-p-d,1,005
000226,卡,m,s-h-h-s-d,3,001
000227,北,s,s-h-t-p-swg,2,011
000228,占,j,s-h-s-hz-h,3,013
000229,凸,j,s-h-s-hzzz-h,1,027
000230,卢,h,s-h-hz-h-p,3,013
000231,业,m,s-s-d-p-h,1,005
000232,旧,m,s-s-hz-h-h,2,113
000233,帅,j,s-p-s-hzg-s,2,055
000234,归,m,s-p-hz-h-h,2,053
000235,旦,h,s-hz-h-h-h,3,113
000236,目,s,s-hz-h-h-h,1,146
000237,且,j,s-hz-h-h-h,1,005
000238,叶,t,s-hz-h-h-s,2,056
000239,甲,m,s-hz-h-h-s,1,155
000240,申,j,s-hz-h-h-s,1,155
000241,叮,h,s-hz-h-h-sg,2,056
000242,电,h,s-hz-h-h-swg,1,155
000243,号,s,s-hz-h-h-szzg,3,056
000244,田,h,s-hz-h-s-h,1,155
000245,由,t,s-hz-h-s-h,1,155
000246,只,h,s-hz-h-p-d,3,056
000247,叭,s,s-hz-h-p-n,2,056
000248,史,j,s-hz-h-p-n,1,056
000249,央,t,s-hz-h-p-n,1,045
000250,兄,s,s-hz-h-p-swg,3,017
000251,叽,m,s-hz-h-p-hzwg,2,056
000252,叼,j,s-hz-h-hzg-t,2,056
000253,叫,m,s-hz-h-st-s,2,056
000254,叩,m,s-hz-h-hzg-s,2,056
000255,叨,h,s-hz-h-hzg-p,2,056
000256,另,h,s-hz-h-hzg-p,3,056
000257,叹,h,s-hz-h-hp-n,2,056
000258,冉,h,s-hzg-s-h-h,1,024
000259,皿,s,s-hz-s-s-h,1,144
000260,凹,t,s-hzz-s-hz-h,1,027
000261,囚,m,s-hz-p-d-h,12,072
000262,四,j,s-hz-p-sw-h,12,072
000263,生,j,p-h-h-s-h,1,150
000264,矢,j,p-h-h-p-n,1,152
000265,失,j,p-h-h-p-n,1,045
000266,乍,j,p-h-s-h-h,1,003
000267,禾,s,p-h-s-p-n,1,139
000268,丘,m,p-s-h-s-h,1,003
000269,付,s,p-s-h-sg-d,2,029
000270,仗,h,p-s-h-p-n,2,029
000271,代,h,p-s-h-xg-d,2,029
000272,仙,j,p-s-s-sz-s,2,029
000273,们,s,p-s-d-s-hzg,2,029
000274,仪,m,p-s-d-p-n,2,029
000275,白,s,p-s-hz-h-h,1,134
000276,仔,t,p-s-hp-sg-h,2,029
000277,他,h,p-s-hzg-s-swg,2,029
000278,斥,j,p-p-h-s-d,1,099
000279,瓜,m,p-p-st-d-n,1,138
000280,乎,s,p-d-p-h-sg,1,003
000281,丛,h,p-d-p-n-h,3,005
000282,令,h,p-n-d-hp-d,3,028
000283,用,t,p-hzg-h-h-s,1,161
000284,甩,j,p-hzg-h-h-swg,1,161
000285,印,s,p-st-h-hzg-s,2,023
000286,尔,h,p-hp-sg-p-d,1,075
000287,乐,h,p-sz-sg-p-d,1,003
000288,句,m,p-hzg-s-hz-h,6,056
000289,匆,s,p-hzg-p-p-d,6,010
000290,册,j,p-hzg-p-hzg-h,1,003
000291,卯,m,p-st-p-hzg-s,2,023
000292,犯,s,p-wg-p-hzg-swg,2,061
000293,外,m,p-hp-d-s-d,2,074
000294,处,j,p-hp-n-s-d,8,080
000295,冬,h,p-hp-n-d-d,3,080
000296,鸟,t,p-hzg-d-szzg-h,1,148
000297,务,s,p-hp-n-hzg-p,3,025
000298,包,s,p-hzg-hz-h-swg,6,010
000299,饥,m,p-hp-st-p-hzwg,2,065
000300,主,j,d-h-h-s-h,1,008
000301,市,j,d-h-s-hzg-s,3,055
000302,立,h,d-h-d-p-h,1,141
000303,冯,s,d-t-hz-szzg-h,2,012
000304,玄,s,d-h-pz-pz-d,1,156
000305,闪,j,d-s-hzg-p-d,9,058
000306,兰,m,d-p-h-h-h,3,021
000307,半,s,d-p-h-h-s,1,031
000308,汁,s,d-d-t-h-s,2,068
000309,汇,s,d-d-t-h-sz,2,068
000310,头,h,d-d-h-p-d,1,045
000311,汉,s,d-d-t-hp-n,2,068
000312,宁,h,d-d-hp-h-sg,3,059
000313,穴,s,d-d-hp-p-n,1,157
000314,它,h,d-d-hp-p-swg,3,059
000315,讨,h,d-hzt-h-sg-d,2,035
000316,写,s,d-hp-h-szzg-h,3,026
000317,让,h,d-hzt-s-h-h,2,035
000318,礼,h,d-hp-s-d-swg,2,115
000319,训,s,d-hzt-p-s-s,2,035
000320,议,m,d-hzt-d-p-n,2,035
000321,必,s,d-xg-d-p-d,1,125
000322,讯,h,d-hzt-hzwg-h-s,2,035
000323,记,m,d-hzt-hz-h-swg,2,035
000324,永,t,d-hzg-hp-p-n,1,118
000325,司,j,hzg-h-s-hz-h,6,056
000326,尼,h,hz-h-p-p-swg,7,064
000327,民,s,hz-h-st-h-xg,1,006
000328,弗,s,hz-h-szzg-p-s,1,049
000329,弘,s,hz-h-szzg-pz-d,2,049
000330,出,j,sz-s-s-sz-s,1,027
000331,辽,h,hp-sg-d-hzzp-n,8,043
000332,奶,h,pd-p-h-hzzzg-p,2,060
000333,奴,h,pd-p-h-hp-n,2,060
000334,召,h,hzg-p-s-hz-h,3,056
000335,加,m,hzg-p-s-hz-h,2,025
000336,皮,s,hp-p-s-hp-n,1,149
000337,边,s,hzg-p-d-hzzp-n,8,043
000338,孕,t,hzzzg-p-hp-sg-h,3,081
000339,发,s,pz-p-hp-n-d,1,037
000340,圣,t,hp-n-h-s-h,3,071
000341,对,h,hp-d-h-sg-d,2,044
000342,台,h,pz-d-s-hz-h,3,056
000343,矛,s,hp-d-hp-sg-p,1,143
000344,纠,m,pz-pz-t-st-s,2,069
000345,母,s,sz-hzg-d-h-d,1,145
000346,幼,t,pz-pz-d-hzg-p,2,077
000347,丝,j,pz-pz-pz-pz-h,3,005
000348,邦,s,h-h-h-p-hpwg-s,2,020
000349,式,j,h-h-s-t-xg-d,6,078
000350,迂,t,h-h-sg-d-hzzp-n,8,043
000351,刑,s,h-h-p-s-s-sg,2,016
000352,戎,m,h-h-p-xg-p-d,6,093
000353,动,h,h-h-pz-d-hzg-p,2,025
000354,扛,m,h-sg-t-h-s-h,2,067
000355,寺,j,h-s-h-h-sg-d,3,044
000356,吉,m,h-s-h-s-hz-h,3,056
000357,扣,m,h-sg-t-s-hz-h,2,067
000358,考,m,h-s-h-p-h-szzg,3,100
000359,托,h,h-sg-t-p-h-swg,2,067
000360,老,h,h-s-h-p-p-swg,3,100
000361,巩,m,h-s-t-p-hzwg-d,2,048
000362,圾,t,h-s-t-p-hzzp-n,2,071
000363,执,h,h-sg-t-p-hzwg-d,2,067
000364,扩,m,h-sg-t-d-h-p,2,067
000365,扫,j,h-sg-t-hz-h-h,2,067
000366,地,t,h-s-t-hzg-s-swg,2,071
000367,场,h,h-s-t-hzzzg-p-p,2,071
000368,扬,h,h-sg-t-hzzzg-p-p,2,067
000369,耳,h,h-s-s-h-h-h,1,168
000370,芋,m,h-s-s-h-h-sg,3,038
000371,共,m,h-s-s-h-p-d,3,009
000372,芒,m,h-s-s-d-h-sz,3,038
000373,亚,t,h-s-s-d-p-h,1,018
000374,芝,m,h-s-s-d-hp-n,3,038
000375,朽,m,h-s-p-d-h-szzg,2,102
000376,朴,m,h-s-p-d-s-d,2,102
000377,机,m,h-s-p-d-p-hzwg,2,102
000378,权,m,h-s-p-d-hp-n,2,102
000379,过,m,h-sg-d-d-hzzp-n,8,043
000380,臣,j,h-s-hz-h-s-sz,11,165
000381,吏,j,h-s-hz-h-p-n,3,056
000382,再,j,h-s-hzg-s-h-h,3,024
000383,协,s,h-s-hzg-p-d-d,2,031
000384,西,j,h-s-hz-p-sw-h,1,178
000385,压,t,h-p-h-s-h-d,7,014
000386,厌,m,h-p-h-p-n-d,7,014
000387,戌,t,h-p-h-xg-p-d,9,093
000388,在,j,h-p-s-h-s-h,7,071
000389,百,s,h-p-s-hz-h-h,3,134
000390,有,t,h-p-s-hzg-h-h,3,129
000391,存,j,h-p-s-hp-sg-h,7,081
000392,而,j,h-p-s-hzg-s-s,1,167
000393,页,j,h-p-s-hz-p-d,1,179
000394,匠,h,h-p-p-h-s-sz,11,019
000395,夸,m,h-p-n-h-h-szzg,3,045
000396,夺,h,h-p-n-h-sg-d,3,045
000397,灰,t,h-p-d-p-p-n,7,096
000398,达,h,h-p-d-d-hzzp-n,8,043
000399,列,j,h-p-hp-d-s-sg,2,016
000400,死,j,h-p-hp-d-p-swg,2,087
000401,成,j,h-p-hzg-xg-p-d,9,093
000402,夹,m,h-d-p-h-p-n,1,045
000403,夷,t,h-hz-h-szzg-p-n,1,045
000404,轨,m,h-pz-s-t-p-hzwg,2,086
000405,邪,s,h-pz-sg-p-hpwg-s,2,020
000406,尧,m,h-xg-p-h-p-swg,3,073
000407,划,j,h-xg-p-d-s-sg,2,016
000408,迈,s,h-hzg-p-d-hzzp-n,8,043
000409,毕,s,h-st-p-swg-h-s,3,083
000410,至,h,h-pz-d-h-s-h,3,185
000411,此,j,s-h-s-t-p-swg,2,132
000412,贞,h,s-h-s-hz-p-d,3,082
000413,师,j,s-p-h-s-hzg-s,2,055
000414,尘,h,s-p-d-h-s-h,3,075
000415,尖,h,s-p-d-h-p-n,3,075
000416,劣,h,s-p-d-p-hzg-p,3,025
000417,光,h,s-d-p-h-p-swg,3,017
000418,当,h,s-d-p-hz-h-h,3,053
000419,早,j,s-hz-h-h-h-s,3,113
000420,吁,m,s-hz-h-h-h-sg,2,056
000421,吐,t,s-hz-h-h-s-h,2,056
000422,吓,m,s-hz-h-h-s-d,2,056
000423,虫,h,s-hz-h-s-h-d,1,166
000424,曲,m,s-hz-h-s-s-h,1,128
000425,团,h,s-hz-h-sg-p-h,12,072
000426,吕,h,s-hz-h-s-hz-h,3,056
000427,同,h,s-hzg-h-s-hz-h,9,056
000428,吊,h,s-hz-h-s-hzg-s,3,056
000429,吃,h,s-hz-h-p-h-hzwg,2,056
000430,因,t,s-hz-h-p-d-h,12,072
000431,吸,j,s-hz-h-p-hzzp-n,2,056
000432,吗,s,s-hz-h-hz-szzg-h,2,056
000433,吆,h,s-hz-h-pz-pz-d,2,056
000434,屿,t,s-sz-s-h-szzg-h,2,062
000435,屹,t,s-sz-s-p-h-hzwg,2,062
000436,岁,j,s-sz-s-p-hp-d,3,062
000437,帆,s,s-hzg-s-p-hzwg-d,2,055
000438,回,s,s-hz-s-hz-h-h,12,072
000439,岂,m,s-sz-s-hz-h-swg,3,062
000440,则,j,s-hz-p-d-s-sg,2,016
000441,刚,j,s-hzg-p-d-s-sg,2,016
000442,网,s,s-hzg-p-d-p-d,9,024
000443,肉,h,s-hzg-p-d-p-d,1,175
000444,年,h,p-h-h-s-h-s,3,047
000445,朱,m,p-h-h-s-p-n,1,102
000446,先,j,p-h-s-h-p-swg,3,017
000447,丢,j,p-h-s-h-pz-d,3,003
000448,廷,h,p-h-s-h-hzzp-n,8,036
000449,舌,j,p-h-s-s-hz-h,1,177
000450,竹,m,p-h-s-p-h-sg,1,188
000451,迁,j,p-h-s-d-hzzp-n,8,043
000452,乔,m,p-h-p-n-p-s,3,003
000453,迄,s,p-h-hzwg-d-hzzp-n,8,043
000454,伟,t,p-s-h-h-hzg-s,2,029
000455,传,h,p-s-h-h-szp-d,2,029
000456,乒,s,p-s-h-s-h-p,3,003
000457,乓,h,p-s-h-s-h-d,3,003
000458,休,s,p-s-h-s-p-n,2,029
000459,伍,t,p-s-h-s-hz-h,2,029
000460,伏,s,p-s-h-p-n-d,2,029
000461,优,t,p-s-h-p-swg-d,2,029
000462,臼,m,p-s-h-hz-h-h,1,172
000463,伐,s,p-s-h-xg-p-d,2,029
000464,延,t,p-s-h-sz-hzzp-n,8,036
000465,仲,h,p-s-s-hz-h-s,2,029
000466,件,m,p-s-p-h-h-s,2,029
000467,任,j,p-s-p-h-s-h,2,029
000468,伤,j,p-s-p-h-hzg-p,2,029
000469,价,m,p-s-p-n-p-s,2,029
000470,伦,h,p-s-p-n-p-swg,2,029
000471,份,s,p-s-p-n-hzg-p,2,029
000472,华,s,p-s-p-swg-h-s,3,031
000473,仰,m,p-s-p-st-hzg-s,2,029
000474,仿,s,p-s-d-h-hzg-p,2,029
000475,伙,h,p-s-d-p-p-n,2,029
000476,伪,m,p-s-d-p-hzg-d,2,029
000477,自,h,p-s-hz-h-h-h,1,189
000478,伊,t,p-s-hz-h-h-p,2,029
000479,血,s,p-s-hz-s-s-h,1,182
000480,向,s,p-s-hzg-s-hz-h,9,056
000481,似,t,p-s-st-d-p-d,2,029
000482,后,s,p-p-h-s-hz-h,7,056
000483,行,s,p-p-s-h-h-sg,2,181
000484,舟,j,p-p-hzg-d-h-d,1,186
000485,全,h,p-n-h-h-s-h,3,030
000486,会,s,p-n-h-h-pz-d,3,028
000487,杀,s,p-d-h-sg-p-d,3,102
000488,合,s,p-n-h-s-hz-h,5,056
000489,兆,h,p-d-t-swg-p-d,2,017
000490,企,m,p-n-s-h-s-h,3,028
000491,众,j,p-n-p-d-p-n,13,028
000492,爷,t,p-d-p-n-hzg-s,3,092
000493,伞,j,p-n-d-p-h-s,3,028
000494,创,j,p-d-hzg-swg-s-sg,2,016
000495,肌,m,p-hzg-h-h-p-hzwg,2,129
000496,肋,h,p-hzg-h-h-hzg-p,2,129
000497,朵,m,p-hzw-h-s-p-n,3,102
000498,杂,s,p-hzwg-h-sg-p-d,3,102
000499,危,s,p-hp-h-p-hzg-swg,7,089
000500,旬,j,p-hzg-s-hz-h-h,6,113
000501,旨,h,p-swg-s-hz-h-h,3,113
000502,旭,m,p-hzwg-s-hz-h-h,8,113
000503,负,s,p-hp-s-hz-p-d,3,082
000504,匈,j,p-hzg-p-d-sz-s,6,010
000505,名,s,p-hp-d-s-hz-h,3,056
000506,各,m,p-hp-n-s-hz-h,3,056
000507,多,h,p-hp-d-p-hp-d,3,074
000508,争,h,p-hp-hz-h-h-sg,3,015
000509,色,j,p-hp-hz-s-h-swg,3,176
000510,壮,j,d-t-s-h-s-h,2,066
000511,冲,j,d-t-s-hz-h-s,2,012
000512,妆,j,d-t-s-pd-p-h,2,060
000513,冰,s,d-t-sg-hp-p-n,2,012
000514,庄,j,d-h-p-h-s-h,7,051
000515,庆,m,d-h-p-h-p-n,7,051
000516,亦,t,d-h-p-sg-p-d,1,033
000517,刘,h,d-h-p-d-s-sg,2,016
000518,齐,j,d-h-p-n-p-s,3,174
000519,交,m,d-h-p-d-p-n,3,033
000520,衣,t,d-h-p-st-p-n,1,187
000521,次,j,d-t-p-hp-p-n,2,111
000522,产,j,d-h-d-p-h-p,1,033
000523,决,h,d-t-hz-h-p-n,2,012
000524,亥,s,d-h-pz-p-p-d,1,033
000525,充,t,d-h-pz-d-p-swg,3,033
000526,妄,h,d-h-sz-pd-p-h,3,060
000527,闭,s,d-s-hzg-h-sg-p,9,058
000528,问,j,d-s-hzg-s-hz-h,9,058
000529,闯,s,d-s-hzg-hz-szzg-h,9,058
000530,羊,t,d-p-h-h-h-s,1,183
000531,并,s,d-p-h-h-p-s,3,047
000532,关,m,d-p-h-h-p-n,3,021
000533,米,s,d-p-h-s-p-n,1,173
000534,灯,h,d-p-p-d-h-sg,2,096
000535,州,j,d-p-d-s-d-s,1,042
000536,汗,s,d-d-t-h-h-s,2,068
000537,污,s,d-d-t-h-h-szzg,2,068
000538,江,s,d-d-t-h-s-h,2,068
000539,汛,s,d-d-t-hzwg-h-s,2,068
000540,池,s,d-d-t-hzg-s-swg,2,068
000541,汝,s,d-d-t-pd-p-h,2,068
000542,汤,s,d-d-t-hzzzg-p-p,2,068
000543,忙,s,d-d-s-d-h-sz,2,076
000544,兴,s,d-d-p-h-p-d,3,009
000545,宇,t,d-d-hp-h-h-sg,3,059
000546,守,j,d-d-hp-h-sg-d,3,059
000547,宅,h,d-d-hp-p-h-swg,3,059
000548,字,j,d-d-hp-hp-sg-h,3,081
000549,安,t,d-d-hp-pd-p-h,3,059
000550,讲,m,d-hzt-h-h-p-s,2,035
000551,讳,s,d-hzt-h-h-hzg-s,2,035
000552,军,m,d-hp-h-pz-h-s,3,026
000553,讶,t,d-hzt-h-pz-sg-p,2,035
000554,许,m,d-hzt-p-h-h-s,2,035
000555,讹,s,d-hzt-p-s-p-swg,2,035
000556,论,h,d-hzt-p-n-p-swg,2,035
000557,讼,j,d-hzt-p-n-pz-d,2,035
000558,农,h,d-hp-p-st-p-n,1,026
000559,讽,s,d-hzt-p-hzwg-p-d,2,035
000560,设,j,d-hzt-p-hzw-hp-n,2,035
000561,访,s,d-hzt-d-h-hzg-p,2,035
000562,诀,h,d-hzt-hz-h-p-n,2,035
000563,寻,h,hz-h-h-h-sg-d,3,044
000564,那,h,hzg-h-h-p-hpwg-s,2,020
000565,迅,h,hzwg-h-s-d-hzzp-n,8,043
000566,尽,h,hz-h-p-n-d-d,3,064
000567,导,h,hz-h-swg-h-sg-d,3,044
000568,异,t,hz-h-swg-h-p-s,3,050
000569,弛,h,hz-h-szzg-hzg-s-swg,2,049
000570,孙,j,hp-sg-t-sg-p-d,2,081
000571,阵,h,hpwg-s-h-pz-h-s,2,020
000572,阳,t,hpwg-s-s-hz-h-h,2,020
000573,收,s,st-s-p-h-p-n,2,109
000574,阶,m,hpwg-s-p-n-p-s,2,020
000575,阴,t,hpwg-s-p-hzg-h-h,2,020
000576,防,s,hpwg-s-d-h-hzg-p,2,020
000577,奸,m,pd-p-h-h-h-s,2,060
000578,如,j,pd-p-h-s-hz-h,2,060
000579,妇,s,pd-p-h-hz-h-h,2,060
000580,妃,s,pd-p-h-hz-h-swg,2,060
000581,好,s,pd-p-h-hp-sg-h,2,060
000582,她,h,pd-p-h-hzg-s-swg,2,060
000583,妈,s,pd-p-h-hz-szzg-h,2,060
000584,戏,j,hp-d-h-xg-p-d,2,093
000585,羽,t,hzg-d-t-hzg-d-t,2,190
000586,观,m,hp-d-s-hz-p-swg,2,098
000587,欢,s,hp-d-p-hp-p-n,2,111
000588,买,s,hp-d-d-h-p-d,3,006
000589,红,s,pz-pz-t-h-s-h,2,069
000590,驮,h,hz-szzg-t-h-p-n,2,057
000591,纤,j,pz-pz-t-p-h-s,2,069
000592,驯,j,hz-szzg-t-p-s-s,2,057
000593,约,t,pz-pz-t-p-hzg-d,2,069
000594,级,m,pz-pz-t-p-hzzp-n,2,069
000595,纪,m,pz-pz-t-hz-h-swg,2,069
000596,驰,h,hz-szzg-t-hzg-s-swg,2,057
000597,纫,j,pz-pz-t-hzg-p-d,2,069
000598,巡,j,pd-pd-pd-d-hzzp-n,8,041
000599,寿,j,h-h-h-p-h-sg-d,3,044
000600,弄,h,h-h-s-h-h-p-s,3,050
000601,麦,s,h-h-s-h-p-hp-n,1,207
